Year;Male Weekly Earning;Female Weekly Earning;;
1995;664,80;430,90;;
1996;681,00;447,70;;
1997;709,50;466,10;;
1998;723,20;475,40;;
1999;741,40;481,70;;
2000;768,00;510,20;;
2001;808,90;528,40;;
2002;845,30;545,70;;
2003;891,80;572,90;;
2004;908,00;597,10;;
2005;958,50;624,90;;
2006;1.007,70;654,70;;
2007;1.051,70;683,40;;
2008;1.101,10;715,30;;
2009;1.162,70;744,20;;
2010;1.210,90;783,80;;
2011;1.255,00;808,10;;
2012;1.324,30;840,00;;
2013;1.347,90;872,60;;
2014;1.371,50;887,90;;
2015;1.374,80;914,80;;
2016;1.397,90;932,40;;
2017;1.427,80;959,50;;
2018;1.460,50;996,30;;
2019;1.498,20;1.027,80;;
2020;1.526,60;1.050,60;;
2021;1.577,10;1.093,80;;
2022;1.621,20;1.146,10;;
2023;1.672,70;1.204,40;;
2024;1.723,80;1.246,40;;
;;;;
a. Excludes amounts salary sacrificed.;;;;
;;;;
Source: Australian Bureau of Statistics, Gender indicators;;;;
